id,team,status,priority,estimate_hours,spent_hours,region,owner,note
TASK-101,preview,running,high,11,14,us-east,user-06,sample preview row 101
TASK-102,review,blocked,low,12,0,ap-south,user-07,sample preview row 102
TASK-103,watch,done,medium,13,3,af-south,user-08,sample preview row 103
TASK-104,diff,review,high,1,6,eu-west,user-09,sample preview row 104
TASK-105,preview,queued,low,2,9,us-east,user-10,sample preview row 105
TASK-106,review,running,medium,3,12,ap-south,user-11,sample preview row 106
TASK-107,watch,blocked,high,4,15,af-south,user-12,sample preview row 107
TASK-108,diff,done,low,5,1,eu-west,user-01,sample preview row 108
TASK-109,preview,review,medium,6,4,us-east,user-02,sample preview row 109
TASK-110,review,queued,high,7,7,ap-south,user-03,"long cell to test truncation with commas, quotes, and table width 110"
TASK-111,watch,running,low,8,10,af-south,user-04,sample preview row 111
TASK-112,diff,blocked,medium,9,13,eu-west,user-05,sample preview row 112
TASK-113,preview,done,high,10,16,us-east,user-06,sample preview row 113
TASK-114,review,review,low,11,2,ap-south,user-07,sample preview row 114
TASK-115,watch,queued,medium,12,5,af-south,user-08,sample preview row 115
TASK-116,diff,running,high,13,8,eu-west,user-09,sample preview row 116
TASK-117,preview,blocked,low,1,11,us-east,user-10,sample preview row 117
TASK-118,review,done,medium,2,14,ap-south,user-11,sample preview row 118
TASK-119,watch,review,high,3,0,af-south,user-12,sample preview row 119
TASK-120,diff,queued,low,4,3,eu-west,user-01,sample preview row 120
TASK-121,preview,running,medium,5,6,us-east,user-02,"long cell to test truncation with commas, quotes, and table width 121"
TASK-122,review,blocked,high,6,9,ap-south,user-03,sample preview row 122
TASK-123,watch,done,low,7,12,af-south,user-04,sample preview row 123
TASK-124,diff,review,medium,8,15,eu-west,user-05,sample preview row 124
TASK-125,preview,queued,high,9,1,us-east,user-06,sample preview row 125
TASK-126,review,running,low,10,4,ap-south,user-07,sample preview row 126
TASK-127,watch,blocked,medium,11,7,af-south,user-08,sample preview row 127
TASK-128,diff,done,high,12,10,eu-west,user-09,sample preview row 128
TASK-129,preview,review,low,13,13,us-east,user-10,sample preview row 129
TASK-130,review,queued,medium,1,16,ap-south,user-11,sample preview row 130
TASK-131,watch,running,high,2,2,af-south,user-12,sample preview row 131
TASK-132,diff,blocked,low,3,5,eu-west,user-01,"long cell to test truncation with commas, quotes, and table width 132"
TASK-133,preview,done,medium,4,8,us-east,user-02,sample preview row 133
TASK-134,review,review,high,5,11,ap-south,user-03,sample preview row 134
TASK-135,watch,queued,low,6,14,af-south,user-04,sample preview row 135
TASK-136,diff,running,medium,7,0,eu-west,user-05,sample preview row 136
TASK-137,preview,blocked,high,8,3,us-east,user-06,sample preview row 137
TASK-138,review,done,low,9,6,ap-south,user-07,sample preview row 138
TASK-139,watch,review,medium,10,9,af-south,user-08,sample preview row 139
TASK-140,diff,queued,high,11,12,eu-west,user-09,sample preview row 140
TASK-141,preview,running,low,12,15,us-east,user-10,sample preview row 141
TASK-142,review,blocked,medium,13,1,ap-south,user-11,sample preview row 142
TASK-143,watch,done,high,1,4,af-south,user-12,"long cell to test truncation with commas, quotes, and table width 143"
TASK-144,diff,review,low,2,7,eu-west,user-01,sample preview row 144
TASK-145,preview,queued,medium,3,10,us-east,user-02,sample preview row 145
TASK-146,review,running,high,4,13,ap-south,user-03,sample preview row 146
TASK-147,watch,blocked,low,5,16,af-south,user-04,sample preview row 147
TASK-148,diff,done,medium,6,2,eu-west,user-05,sample preview row 148
TASK-149,preview,review,high,7,5,us-east,user-06,sample preview row 149
TASK-150,review,queued,low,8,8,ap-south,user-07,sample preview row 150
TASK-151,watch,running,medium,9,11,af-south,user-08,sample preview row 151
TASK-152,diff,blocked,high,10,14,eu-west,user-09,sample preview row 152
TASK-153,preview,done,low,11,0,us-east,user-10,sample preview row 153
TASK-154,review,review,medium,12,3,ap-south,user-11,"long cell to test truncation with commas, quotes, and table width 154"
TASK-155,watch,queued,high,13,6,af-south,user-12,sample preview row 155
TASK-156,diff,running,low,1,9,eu-west,user-01,sample preview row 156
TASK-157,preview,blocked,medium,2,12,us-east,user-02,sample preview row 157
TASK-158,review,done,high,3,15,ap-south,user-03,sample preview row 158
TASK-159,watch,review,low,4,1,af-south,user-04,sample preview row 159
TASK-160,diff,queued,medium,5,4,eu-west,user-05,sample preview row 160
TASK-161,preview,running,high,6,7,us-east,user-06,sample preview row 161
TASK-162,review,blocked,low,7,10,ap-south,user-07,sample preview row 162
TASK-163,watch,done,medium,8,13,af-south,user-08,sample preview row 163
TASK-164,diff,review,high,9,16,eu-west,user-09,sample preview row 164
TASK-165,preview,queued,low,10,2,us-east,user-10,"long cell to test truncation with commas, quotes, and table width 165"
TASK-166,review,running,medium,11,5,ap-south,user-11,sample preview row 166
TASK-167,watch,blocked,high,12,8,af-south,user-12,sample preview row 167
TASK-168,diff,done,low,13,11,eu-west,user-01,sample preview row 168
TASK-169,preview,review,medium,1,14,us-east,user-02,sample preview row 169
TASK-170,review,queued,high,2,0,ap-south,user-03,sample preview row 170
TASK-171,watch,running,low,3,3,af-south,user-04,sample preview row 171
TASK-172,diff,blocked,medium,4,6,eu-west,user-05,sample preview row 172
TASK-173,preview,done,high,5,9,us-east,user-06,sample preview row 173
TASK-174,review,review,low,6,12,ap-south,user-07,sample preview row 174
TASK-175,watch,queued,medium,7,15,af-south,user-08,sample preview row 175
TASK-176,diff,running,high,8,1,eu-west,user-09,"long cell to test truncation with commas, quotes, and table width 176"
TASK-177,preview,blocked,low,9,4,us-east,user-10,sample preview row 177
TASK-178,review,done,medium,10,7,ap-south,user-11,sample preview row 178
TASK-179,watch,review,high,11,10,af-south,user-12,sample preview row 179
TASK-180,diff,queued,low,12,13,eu-west,user-01,sample preview row 180
